x,y,z
-0.388466,0.106350,1.118467
-0.388460,0.108350,1.118466
-0.388455,0.110350,1.118464
-0.388449,0.112350,1.118463
-0.388444,0.114350,1.118462
-0.388741,0.116352,1.119413
-0.388736,0.118352,1.119412
-0.389033,0.120353,1.120364
-0.391451,0.122365,1.127987
-0.392960,0.124372,1.132750
-0.393258,0.126374,1.133702
-0.393252,0.128374,1.133701
-0.393550,0.130375,1.134652
-0.389000,0.132353,1.120356
-0.388691,0.134352,1.119402
-0.388686,0.136352,1.119400
-0.388680,0.138352,1.119399
-0.388675,0.140352,1.119398
-0.388669,0.142352,1.119396
-0.388664,0.144352,1.119395
-0.388658,0.146352,1.119394
-0.388647,0.150352,1.119391
-0.388642,0.152352,1.119390
-0.388939,0.154353,1.120341
-0.388934,0.156353,1.120340
-0.388928,0.158353,1.120339
-0.388923,0.160353,1.120337
-0.388614,0.162352,1.119383
-0.388603,0.166352,1.119380
-0.386560,0.106345,1.119073
-0.386554,0.108345,1.119072
-0.386549,0.110345,1.119070
-0.386543,0.112345,1.119069
-0.386538,0.114345,1.119068
-0.386835,0.116347,1.120019
-0.386830,0.118347,1.120018
-0.387127,0.120348,1.120970
-0.389848,0.122361,1.129545
-0.391357,0.124369,1.134309
-0.391352,0.126369,1.134308
-0.391346,0.128369,1.134307
-0.391644,0.130370,1.135258
-0.386791,0.132347,1.120009
-0.386785,0.134347,1.120007
-0.386780,0.136347,1.120006
-0.386774,0.138347,1.120005
-0.386769,0.140347,1.120003
-0.386763,0.142347,1.120002
-0.386758,0.144347,1.120001
-0.386752,0.146347,1.120000
-0.386741,0.150347,1.119997
-0.387039,0.152348,1.120949
-0.387033,0.154348,1.120947
-0.387022,0.158348,1.120945
-0.387017,0.160348,1.120943
-0.387011,0.162348,1.120942
-0.386703,0.164347,1.119988
-0.387000,0.166348,1.120939
-0.384654,0.106340,1.119679
-0.384648,0.108340,1.119678
-0.384643,0.110340,1.119676
-0.384637,0.112340,1.119675
-0.384632,0.114340,1.119673
-0.384626,0.116340,1.119672
-0.384924,0.118342,1.120624
-0.385221,0.120343,1.121576
-0.387942,0.122357,1.130151
-0.389451,0.124364,1.134915
-0.389446,0.126364,1.134914
-0.389440,0.128364,1.134912
-0.389738,0.130365,1.135864
-0.385188,0.132343,1.121568
-0.384879,0.134342,1.120613
-0.384874,0.136342,1.120612
-0.384868,0.138342,1.120611
-0.384863,0.140342,1.120609
-0.384857,0.142342,1.120608
-0.384852,0.144342,1.120607
-0.384846,0.146342,1.120605
-0.385138,0.150343,1.121556
-0.385133,0.152343,1.121554
-0.385127,0.154343,1.121553
-0.384808,0.160342,1.120596
-0.382748,0.106336,1.120285
-0.382742,0.108336,1.120283
-0.382737,0.110336,1.120282
-0.382731,0.112336,1.120281
-0.383029,0.114337,1.121233
-0.383023,0.116337,1.121231
-0.383018,0.118337,1.121230
-0.383315,0.120338,1.122182
-0.386036,0.122352,1.130757
-0.387545,0.124359,1.135521
-0.387540,0.126359,1.135520
-0.387534,0.128359,1.135518
-0.387832,0.130360,1.136470
-0.382979,0.132337,1.121221
-0.383276,0.134338,1.122172
-0.382968,0.136337,1.121218
-0.383265,0.138338,1.122170
-0.382957,0.140337,1.121215
-0.382951,0.142337,1.121214
-0.382946,0.144337,1.121213
-0.382940,0.146337,1.121211
-0.383221,0.154338,1.122159
-0.383216,0.156338,1.122158
-0.383199,0.162338,1.122154
-0.380842,0.106331,1.120891
-0.380836,0.108331,1.120889
-0.380831,0.110331,1.120888
-0.381128,0.112332,1.121840
-0.381123,0.114332,1.121838
-0.380814,0.116331,1.120884
-0.380809,0.118331,1.120883
-0.381409,0.120334,1.122787
-0.383827,0.122345,1.130410
-0.385623,0.130354,1.136123
-0.381376,0.132334,1.122779
-0.381067,0.134332,1.121825
-0.381062,0.136332,1.121824
-0.381056,0.138332,1.121822
-0.381051,0.140332,1.121821
-0.381348,0.142334,1.122773
-0.381040,0.144332,1.121819
-0.381034,0.146332,1.121817
-0.381326,0.150334,1.122768
-0.381315,0.154334,1.122765
-0.381310,0.156334,1.122764
-0.381293,0.162334,1.122760
-0.379239,0.106327,1.122450
-0.378930,0.108326,1.121495
-0.378925,0.110326,1.121494
-0.378919,0.112326,1.121493
-0.378914,0.114326,1.121491
-0.378908,0.116326,1.121490
-0.379206,0.118327,1.122442
-0.379503,0.120329,1.123393
-0.379167,0.132327,1.122432
-0.379161,0.134327,1.122431
-0.379156,0.136327,1.122430
-0.379150,0.138327,1.122428
-0.379145,0.140327,1.122427
-0.379139,0.142327,1.122426
-0.379437,0.144329,1.123377
-0.379431,0.146329,1.123376
-0.379420,0.150329,1.123374
-0.379415,0.152329,1.123372
-0.379409,0.154329,1.123371
-0.379404,0.156329,1.123369
-0.379398,0.158329,1.123368
-0.379696,0.160330,1.124320
-0.379387,0.162329,1.123366
-0.379382,0.164329,1.123364
-0.379376,0.166329,1.123363
-0.377030,0.106321,1.122102
-0.377024,0.108321,1.122101
-0.377019,0.110321,1.122100
-0.377013,0.112321,1.122098
-0.377008,0.114321,1.122097
-0.377002,0.116321,1.122096
-0.376997,0.118321,1.122095
-0.377597,0.120324,1.123999
-0.377564,0.132324,1.123991
-0.377255,0.134322,1.123037
-0.377250,0.136322,1.123036
-0.377244,0.138322,1.123034
-0.377239,0.140322,1.123033
-0.377233,0.142322,1.123032
-0.377228,0.144322,1.123030
-0.377525,0.146324,1.123982
-0.377514,0.150324,1.123979
-0.377509,0.152324,1.123978
-0.377498,0.156324,1.123975
-0.377476,0.164324,1.123970
-0.375124,0.106316,1.122708
-0.375421,0.108318,1.123660
-0.375113,0.110316,1.122706
-0.375107,0.112316,1.122704
-0.375102,0.114316,1.122703
-0.375399,0.116318,1.123655
-0.375091,0.118316,1.122700
-0.375994,0.120320,1.125558
-0.375658,0.132319,1.124597
-0.375349,0.134318,1.123643
-0.375344,0.136318,1.123641
-0.375641,0.138319,1.124593
-0.375636,0.140319,1.124592
-0.375327,0.142318,1.123638
-0.375625,0.144319,1.124589
-0.375619,0.146319,1.124588
-0.375608,0.150319,1.124585
-0.375900,0.154320,1.125536
-0.375592,0.156319,1.124581
-0.375581,0.160319,1.124579
-0.375878,0.162320,1.125530
-0.375570,0.164319,1.124576
-0.373218,0.106311,1.123314
-0.373212,0.108311,1.123313
-0.373207,0.110311,1.123312
-0.373201,0.112311,1.123310
-0.373196,0.114311,1.123309
-0.373190,0.116311,1.123308
-0.373185,0.118311,1.123306
-0.374088,0.120316,1.126164
-0.378302,0.130336,1.139500
-0.373752,0.132314,1.125203
-0.373443,0.134313,1.124249
-0.373438,0.136313,1.124247
-0.373735,0.138314,1.125199
-0.373730,0.140314,1.125198
-0.373421,0.142313,1.124243
-0.373416,0.144313,1.124242
-0.373713,0.146314,1.125194
-0.377035,0.150330,1.135674
-0.378224,0.158336,1.139481
-0.371615,0.106308,1.124873
-0.371306,0.108306,1.123919
-0.371301,0.110306,1.123917
-0.371598,0.112308,1.124869
-0.371290,0.114306,1.123915
-0.371587,0.116308,1.124866
-0.371279,0.118306,1.123912
-0.371576,0.120308,1.124864
-0.376109,0.124330,1.139156
-0.376104,0.126330,1.139155
-0.375795,0.128328,1.138201
-0.376396,0.130331,1.140105
-0.371846,0.132309,1.125809
-0.371537,0.134308,1.124855
-0.371532,0.136308,1.124853
-0.371526,0.138308,1.124852
-0.371824,0.140309,1.125804
-0.371818,0.142309,1.125802
-0.371813,0.144309,1.125801
-0.371807,0.146309,1.125800
-0.376335,0.152331,1.140091
-0.376329,0.154331,1.140090
-0.376324,0.156331,1.140088
-0.376313,0.160331,1.140086
-0.369406,0.106302,1.124526
-0.369400,0.108302,1.124525
-0.369395,0.110302,1.124523
-0.369389,0.112302,1.124522
-0.369384,0.114302,1.124521
-0.369378,0.116302,1.124519
-0.369373,0.118302,1.124518
-0.369670,0.120303,1.125470
-0.373900,0.124324,1.138809
-0.374501,0.126326,1.140714
-0.374192,0.128325,1.139760
-0.374490,0.130326,1.140711
-0.369940,0.132304,1.126415
-0.369631,0.134303,1.125461
-0.369626,0.136303,1.125459
-0.369620,0.138303,1.125458
-0.369615,0.140303,1.125457
-0.369912,0.142304,1.126408
-0.369907,0.144304,1.126407
-0.369901,0.146304,1.126406
-0.373526,0.150322,1.137839
-0.374126,0.152325,1.139744
-0.374423,0.154326,1.140695
-0.374115,0.156325,1.139741
-0.374412,0.158326,1.140693
-0.374407,0.160326,1.140692
-0.374087,0.166325,1.139735
-0.367500,0.106297,1.125132
-0.367494,0.108297,1.125131
-0.367792,0.110298,1.126082
-0.367786,0.112298,1.126081
-0.367478,0.114297,1.125127
-0.367472,0.116297,1.125125
-0.367770,0.118298,1.126077
-0.368370,0.120301,1.127982
-0.370788,0.122313,1.135605
-0.371994,0.124319,1.139415
-0.372292,0.126320,1.140367
-0.372286,0.128320,1.140366
-0.372584,0.130322,1.141317
-0.368034,0.132300,1.127021
-0.367725,0.134298,1.126066
-0.367720,0.136298,1.126065
-0.367714,0.138298,1.126064
-0.368012,0.140300,1.127015
-0.368006,0.142300,1.127014
-0.368001,0.144300,1.127013
-0.367692,0.146298,1.126058
-0.371306,0.154316,1.137489
-0.365594,0.106292,1.125738
-0.365588,0.108292,1.125736
-0.365886,0.110293,1.126688
-0.365577,0.112292,1.125734
-0.365875,0.114293,1.126686
-0.365566,0.116292,1.125731
-0.365864,0.118293,1.126683
-0.366161,0.120295,1.127635
-0.370391,0.124315,1.140974
-0.370386,0.126315,1.140973
-0.370380,0.128315,1.140971
-0.370678,0.130317,1.141923
-0.366431,0.132296,1.128580
-0.365819,0.134293,1.126672
-0.365814,0.136293,1.126671
-0.365808,0.138293,1.126670
-0.366106,0.140295,1.127621
-0.366100,0.142295,1.127620
-0.365792,0.144293,1.126666
-0.366089,0.146295,1.127617
-0.363688,0.106287,1.126344
-0.363985,0.108288,1.127295
-0.363980,0.110288,1.127294
-0.363671,0.112287,1.126340
-0.363666,0.114287,1.126338
-0.363963,0.116288,1.127290
-0.363958,0.118288,1.127289
-0.364255,0.120290,1.128240
-0.366976,0.122303,1.136816
-0.368182,0.124309,1.140627
-0.368480,0.126310,1.141579
-0.368474,0.128310,1.141577
-0.368772,0.130312,1.142529
-0.364222,0.132290,1.128233
-0.364216,0.134290,1.128231
-0.363908,0.136288,1.127277
-0.364205,0.138290,1.128229
-0.363897,0.140288,1.127274
-0.364194,0.142290,1.128226
-0.364189,0.144290,1.128225
-0.364183,0.146290,1.128223
-0.364778,0.150293,1.130127
-0.364767,0.154293,1.130124
-0.364762,0.156293,1.130123
-0.364756,0.158293,1.130121
-0.364751,0.160293,1.130120
-0.364739,0.164293,1.130117
-0.361782,0.106282,1.126950
-0.361776,0.108282,1.126948
-0.362074,0.110284,1.127900
-0.361765,0.112282,1.126946
-0.361760,0.114282,1.126944
-0.361754,0.116282,1.126943
-0.361446,0.118281,1.125989
-0.362046,0.120284,1.127893
-0.366579,0.124306,1.142186
-0.366574,0.126306,1.142185
-0.366871,0.128307,1.143136
-0.366866,0.130307,1.143135
-0.362316,0.132285,1.128838
-0.362007,0.134284,1.127884
-0.362002,0.136284,1.127883
-0.361996,0.138284,1.127882
-0.361991,0.140284,1.127880
-0.361985,0.142284,1.127879
