x,y,z
-0.25097,-0.24947,1.0957
-0.25097,-0.24747,1.0942
-0.25097,-0.24547,1.0942
-0.25097,-0.24347,1.0937
-0.25097,-0.24147,1.0947
-0.25097,-0.23947,1.0942
-0.25097,-0.23747,1.0942
-0.25097,-0.23547,1.0932
-0.25097,-0.23347,1.0927
-0.25097,-0.23147,1.0917
-0.25097,-0.22347,1.0667
-0.25097,-0.22147,1.0657
-0.25097,-0.21947,1.0647
-0.25097,-0.21747,1.0642
-0.25097,-0.21547,1.0632
-0.25097,-0.21347,1.0627
-0.25097,-0.21147,1.0627
-0.25097,-0.20947,1.0627
-0.25097,-0.20747,1.0637
-0.25097,-0.20547,1.0647
-0.25097,-0.20347,1.0682
-0.25097,-0.20147,1.0747
-0.25097,-0.19947,1.0807
-0.25097,-0.19747,1.0837
-0.25097,-0.19547,1.0857
-0.25097,-0.19347,1.0857
-0.25097,-0.19147,1.0857
-0.25097,-0.18947,1.0857
-0.25097,-0.18747,1.0857
-0.25097,-0.18547,1.0857
-0.25097,-0.18347,1.0852
-0.25097,-0.18147,1.0837
-0.25097,-0.17947,1.0832
-0.25097,-0.17747,1.0827
-0.25097,-0.17547,1.0837
-0.25097,-0.17347,1.0852
-0.25097,-0.17147,1.0882
-0.25097,-0.16947,1.0932
-0.25097,-0.16747,1.1002
-0.25097,-0.16547,1.1057
-0.25097,-0.16347,1.1092
-0.25097,-0.16147,1.1107
-0.25097,-0.15947,1.1112
-0.25097,-0.15747,1.1112
-0.25097,-0.15547,1.1102
-0.25097,-0.15347,1.1097
-0.25097,-0.15147,1.1092
-0.25097,-0.14947,1.1087
-0.25097,-0.14747,1.1077
-0.25097,-0.14547,1.1067
-0.25097,-0.14347,1.1062
-0.25097,-0.14147,1.1052
-0.25097,-0.13947,1.1047
-0.25097,-0.13747,1.1042
-0.25097,-0.13547,1.1037
-0.25097,-0.13347,1.1022
-0.25097,-0.13147,1.1012
-0.25097,-0.12947,1.0987
-0.25097,-0.12747,1.0962
-0.25097,-0.12547,1.0942
-0.25097,-0.12347,1.0912
-0.25097,-0.12147,1.0887
-0.25097,-0.11947,1.0857
-0.25097,-0.11747,1.0837
-0.25097,-0.11547,1.0817
-0.25097,-0.11347,1.0802
-0.25097,-0.11147,1.0797
-0.25097,-0.10947,1.0792
-0.25097,-0.10747,1.0782
-0.25097,-0.10547,1.0777
-0.25097,-0.10347,1.0777
-0.25097,-0.10147,1.0762
-0.25097,-0.09947,1.0757
-0.25097,-0.09747,1.0752
-0.25097,-0.09547,1.0752
-0.25097,-0.09347,1.0742
-0.25097,-0.09147,1.0737
-0.25097,-0.08947,1.0727
-0.25097,-0.08747,1.0727
-0.25097,-0.08547,1.0717
-0.25097,-0.08347,1.0707
-0.25097,-0.08147,1.0687
-0.25097,-0.07947,1.0677
-0.25097,-0.07747,1.0677
-0.25097,-0.07547,1.0682
-0.25097,-0.07347,1.0687
-0.25097,-0.07147,1.0677
-0.25097,-0.06947,1.0672
-0.25097,-0.06747,1.0667
-0.25097,-0.06547,1.0662
-0.25097,-0.06347,1.0657
-0.25097,-0.06147,1.0642
-0.25097,-0.05747,1.0417
-0.25097,-0.05547,1.0392
-0.25097,-0.05347,1.0382
-0.25097,-0.05147,1.0377
-0.25097,-0.04947,1.0367
-0.25097,-0.04747,1.0367
-0.25097,-0.04547,1.0377
-0.25097,-0.04347,1.0387
-0.25097,-0.04147,1.0397
-0.25097,-0.03947,1.0412
-0.25097,-0.03747,1.0442
-0.25097,-0.03547,1.0497
-0.25097,-0.03347,1.0567
-0.25097,-0.03147,1.0602
-0.25097,-0.02947,1.0617
-0.25097,-0.02747,1.0622
-0.25097,-0.02547,1.0622
-0.25097,-0.02347,1.0617
-0.25097,-0.02147,1.0622
-0.25097,-0.01947,1.0622
-0.25097,-0.01747,1.0617
-0.25097,-0.01547,1.0602
-0.25097,-0.01347,1.0597
-0.25097,-0.01147,1.0592
-0.25097,-0.00947,1.0597
-0.25097,-0.00747,1.0612
-0.25097,-0.00547,1.0637
-0.25097,-0.00347,1.0692
-0.25097,-0.00147,1.0757
-0.25097,0.00053,1.0817
-0.25097,0.00253,1.0852
-0.25097,0.00453,1.0862
-0.25097,0.00653,1.0867
-0.25097,0.00853,1.0862
-0.25097,0.01053,1.0857
-0.25097,0.01253,1.0857
-0.25097,0.01453,1.0842
-0.25097,0.01653,1.0842
-0.25097,0.01853,1.0832
-0.25097,0.02053,1.0827
